-BEGIN HEADER-,,,,,,,,,,,,,,,
WS2M_RANGE,1983,4.92,4.88,6.22,6.52,6.43,6.62,6.2,8.67,5.69,4.34,3.17,4.46,8.74,
WS2M_RANGE,1984,5.81,5.98,5.52,5.13,5.91,6.83,6.06,6.61,4.96,5.86,4,4.99,6.95,
WS2M_RANGE,1985,4.32,5.44,6.14,6.1,5.95,7.03,7.2,6.85,4.89,6.21,3.61,3.77,7.38,
WS2M_RANGE,1986,4.2,4.12,6.19,5.83,6.46,6.08,7.09,5.94,5.8,4.2,3.58,5.65,7.2,
WS2M_RANGE,1987,4.35,4.25,5.49,8.02,4.87,5.57,7.82,5.16,7.59,4.58,3.8,4.21,8.17,
WS2M_RANGE,1988,4.59,5.01,5.9,5.7,6.88,7.73,6.86,7.09,5.55,5.84,5.62,5.34,7.73,
WS2M_RANGE,1989,5.13,6.04,6.05,5.88,7.15,6.6,8.08,6.38,4.88,3.7,3.47,3.8,8.22,
WS2M_RANGE,1990,5.77,4.83,6.08,5.77,7.86,6.15,5.48,6.21,5.77,4.48,4.3,3.39,7.99,
WS2M_RANGE,1991,5.45,4.73,6.02,6.8,5.66,5.93,8.84,5.74,4.95,3.48,2.75,4.05,8.88,
WS2M_RANGE,1992,4.52,4.99,5.99,5.34,6.3,7.52,8.12,5.31,6.25,4.55,3.2,3.95,8.41,
WS2M_RANGE,1993,5.61,5.28,5.96,6.06,6.67,6.17,6.39,5.77,5.1,2.64,3.02,3.02,6.85,
WS2M_RANGE,1994,5.28,5.45,6.52,6.09,5.72,5.88,6.75,6.07,5.99,4.64,2.68,3.17,6.81,
WS2M_RANGE,1995,5.83,4.35,5.83,5,7.7,6.17,6.29,5.05,5.56,4.26,6.39,4.21,7.88,
WS2M_RANGE,1996,4.91,5.86,5.62,5.38,6.85,5.81,9.41,5.52,4.25,5.06,3.13,3.7,9.41,
WS2M_RANGE,1997,4.09,5.16,6.32,5.7,7.21,6.37,10.49,6.45,6.36,2.9,3.94,6.45,10.52,
WS2M_RANGE,1998,4,4.02,5.62,4.86,7.2,7.38,6.62,4.63,5.16,4.58,5.13,3.15,7.42,
WS2M_RANGE,1999,4.34,4.3,6.24,4.89,5.98,7.72,5.92,7.69,4.89,5.33,3.34,2.8,7.86,
WS2M_RANGE,2000,4.01,5.84,5.82,5.98,6.66,9.65,5.11,6.52,6.3,4.66,3.87,4.27,9.78,
WS2M_RANGE,2001,5.09,5.43,4.29,5.09,7.07,7.59,7.45,4.73,6.29,4.86,4.01,3.03,7.73,
WS2M_RANGE,2002,4.75,5.61,4.58,6.09,7.14,5.85,5.62,6.87,5.66,3.83,4.45,4.57,7.33,
WS2M_RANGE,2003,4.65,5.02,5.27,5.72,6.77,6.66,10.04,6.75,6.83,5.4,2.7,4.18,10.3,
WS2M_RANGE,2004,4.07,4,5.12,6.14,6.98,9.37,5.75,6.08,5.2,6.13,3.41,3.32,9.45,
WS2M_RANGE,2005,4.42,5.6,4.8,5.53,5.02,8.23,6.44,5.59,5.16,3.53,4.28,3.7,8.32,
WS2M_RANGE,2006,3.93,4.33,4.7,5.49,6.38,5.15,7.77,8.02,7.06,2.96,2.75,4.04,8.23,
WS2M_RANGE,2007,3.84,5.65,5.24,5.13,5.66,7.57,6.75,8.27,8.23,3.45,4.09,4.75,8.3,
WS2M_RANGE,2008,4.05,4.41,4.9,5.23,7.3,6.57,5.72,5.16,8.02,3.94,2.85,2.88,8.12,
WS2M_RANGE,2009,3.58,5.28,4.99,6.16,6.9,6.12,6.16,5.46,5.86,5.65,3.96,3.85,6.97,
WS2M_RANGE,2010,3.88,5.37,5.4,6.69,6.61,6.05,6.45,5.88,6.05,5.01,3.23,3.46,6.82,
WS2M_RANGE,2011,4.76,5.11,5.88,5.73,5.64,8.88,5.87,4.65,5.29,3.72,2.84,2.52,9.06,
WS2M_RANGE,2012,4.16,5.55,4.98,5.26,5.49,5.69,5.76,5.16,5.41,2.62,3.39,4.43,5.92,
WS2M_RANGE,2013,4.56,6.27,4.97,5.34,6.77,7,6.77,5.77,4.84,8.1,3.66,3.34,8.22,
WS2M_RANGE,2014,5.55,5.48,4.78,5.38,5.73,6.72,6.21,5.79,5.25,7.53,3.39,3.38,7.57,
WS2M_RANGE,2015,5.34,3.96,4.98,4.86,5.93,6.95,7.72,6.52,5.24,2.54,2.69,3.96,7.9,
WS2M_RANGE,2016,4.11,3.92,5.48,5.64,6.48,5.62,5.73,6.12,4.47,3.91,3.82,3.25,6.59,
WS2M_RANGE,2017,4.17,4.38,5.84,6.23,6.11,4.95,6.35,4.4,4.55,4.49,2.7,3.7,6.59,
WS2M_RANGE,2018,5.08,5.31,4.77,5.32,5.38,6.82,5.73,5.96,7.17,4.2,3.41,4.99,7.41,
WS2M_RANGE,2019,4.02,5.23,5.51,5.09,5.8,5.66,7.05,5.27,5.2,5.77,3.72,4.56,7.16,
WS2M_RANGE,2020,4.47,4.58,3.74,5.23,7.91,6.15,5.41,5.88,4.54,3.52,3.14,3.34,7.98,
WS2M_RANGE,2021,3.65,3.45,6.03,4.34,8.94,5.36,5.2,5.73,5.88,3.95,2.94,3.85,8.94,
WS2M_RANGE,2022,3.55,5.57,4.52,5.04,6.27,5.87,5.82,6.23,6.34,4.23,2.48,3.27,6.46,
PRECTOTCORR,1981,0,0,0,0,0,5.27,15.82,10.55,5.27,0,0,0,5.27,36.91
PRECTOTCORR,1982,0,0,0,0,0,5.27,10.55,15.82,5.27,0,0,0,5.27,36.91
PRECTOTCORR,1983,0,0,0,0,0,5.27,10.55,5.27,10.55,0,0,0,5.27,31.64
PRECTOTCORR,1984,0,0,0,0,0,5.27,15.82,15.82,5.27,0,0,0,5.27,42.18
PRECTOTCORR,1985,0,0,0,0,0,0,10.55,10.55,5.27,0,0,0,5.27,26.37
PRECTOTCORR,1986,0,0,0,0,0,5.27,10.55,5.27,5.27,0,0,0,5.27,26.36
PRECTOTCORR,1987,0,0,0,0,0,5.27,10.55,5.27,5.27,0,0,0,0,26.36
PRECTOTCORR,1988,0,0,0,0,0,10.55,10.55,10.55,5.27,0,0,0,5.27,36.92
PRECTOTCORR,1989,0,0,0,0,0,5.27,5.27,10.55,5.27,0,0,0,0,26.36
PRECTOTCORR,1990,0,0,0,0,5.27,10.55,10.55,10.55,10.55,5.27,0,0,5.27,52.74
PRECTOTCORR,1991,0,0,0,0,0,5.27,10.55,15.82,5.27,0,0,0,5.27,36.91
PRECTOTCORR,1992,0,0,0,0,0,5.27,10.55,10.55,5.27,0,0,0,5.27,31.64
PRECTOTCORR,1993,0,0,0,0,0,5.27,10.55,10.55,15.82,0,0,0,5.27,42.19
PRECTOTCORR,1994,0,0,0,0,0,10.55,15.82,10.55,5.27,5.27,0,0,5.27,47.46
PRECTOTCORR,1995,0,0,0,0,0,5.27,10.55,10.55,5.27,0,0,0,5.27,31.64
PRECTOTCORR,1996,0,0,0,0,0,5.27,15.82,10.55,5.27,0,0,0,5.27,36.91
PRECTOTCORR,1997,0,0,0,0,0,5.27,10.55,15.82,5.27,0,0,0,5.27,36.91
PRECTOTCORR,1998,5.27,0,0,0,0,5.27,5.27,10.55,10.55,0,0,0,5.27,36.91
PRECTOTCORR,1999,0,0,0,0,0,5.27,10.55,10.55,10.55,0,0,0,5.27,36.92
PRECTOTCORR,2000,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,0,21.08
PRECTOTCORR,2001,0,0,0,0,0,10.55,15.82,10.55,0,0,0,0,5.27,36.92
PRECTOTCORR,2002,0,0,0,0,0,5.27,5.27,10.55,5.27,0,0,0,0,26.36
PRECTOTCORR,2003,0,0,0,0,0,5.27,10.55,10.55,10.55,5.27,0,0,5.27,42.19
PRECTOTCORR,2004,0,0,0,0,0,10.55,10.55,15.82,5.27,0,0,0,5.27,42.19
PRECTOTCORR,2005,0,0,0,0,0,5.27,10.55,10.55,5.27,0,0,0,5.27,31.64
PRECTOTCORR,2006,0,0,0,0,0,5.27,10.55,10.55,5.27,0,0,0,5.27,31.64
PRECTOTCORR,2007,0,0,0,0,0,5.27,10.55,10.55,10.55,0,0,0,5.27,36.92
PRECTOTCORR,2008,0,0,0,0,0,10.55,10.55,10.55,5.27,0,0,0,5.27,36.92
PRECTOTCORR,2009,0,0,0,0,0,0,10.55,10.55,5.27,0,0,0,0,26.37
PRECTOTCORR,2010,0,0,0,0,0,5.27,5.27,5.27,10.55,0,0,0,0,26.36
PRECTOTCORR,2011,0,0,0,0,0,10.55,5.27,10.55,15.82,0,0,0,5.27,42.19
PRECTOTCORR,2012,0,0,0,0,0,5.27,10.55,15.82,5.27,0,0,0,5.27,36.91
PRECTOTCORR,2013,0,0,0,0,0,10.55,10.55,10.55,5.27,10.55,0,0,5.27,47.47
PRECTOTCORR,2014,0,0,0,0,0,5.27,10.55,10.55,5.27,5.27,0,0,5.27,36.91
PRECTOTCORR,2015,0,0,0,0,0,5.27,15.82,10.55,5.27,0,0,0,5.27,36.91
PRECTOTCORR,2016,0,0,0,0,0,0,10.55,15.82,5.27,0,0,0,5.27,31.64
PRECTOTCORR,2017,0,0,0,0,0,5.27,21.09,10.55,5.27,0,0,0,5.27,42.18
PRECTOTCORR,2018,0,0,0,0,0,5.27,15.82,10.55,5.27,0,0,0,5.27,36.91
PRECTOTCORR,2019,0,0,0,0,0,5.27,10.55,10.55,10.55,0,0,0,5.27,36.92
PRECTOTCORR,2020,0,0,5.27,0,0,10.55,5.27,10.55,5.27,5.27,0,0,5.27,42.18
PRECTOTCORR,2021,0.17,0.57,0.17,0.15,4.02,9.7,11.4,6.32,6.94,1.03,0.24,1.11,3.5,45.32
PRECTOTCORR,2022,0.98,1.53,0,0.03,1.14,5.72,7.36,13.31,8.78,3.46,0,0,3.54,45.85
WS10M_RANGE,1981,6.52,6.54,6.72,8.12,8.64,11.75,7.91,9.88,13.98,4.62,4.29,6.39,14.16,
WS10M_RANGE,1982,7.15,5.73,7.74,8.08,7.59,8.93,8.03,10.59,7.41,5.34,5.69,6.32,10.95,
WS10M_RANGE,1983,6.72,6.64,8.64,9.06,8.55,8.91,8.59,12.55,8.12,6.16,4.43,6.16,12.62,
WS10M_RANGE,1984,8.2,8.42,7.66,6.8,7.64,9.34,8.6,9.5,7.26,8.48,5.6,7.07,9.89,
WS10M_RANGE,1985,5.92,7.38,8.54,8,7.8,9.36,9.79,9.6,7.02,9.2,5.04,5.21,9.99,
WS10M_RANGE,1986,5.66,5.8,8.46,7.88,8.51,7.87,10.05,8.31,8.38,6,5.05,7.91,10.32,
WS10M_RANGE,1987,5.73,5.44,7.64,10.88,6.44,7.8,10.78,7.28,11.1,6.54,5.55,6.12,11.2,
WS10M_RANGE,1988,6.32,6.88,7.96,8.02,9.11,10.62,9.57,10.3,8.06,8.48,8.04,7.61,10.62,
WS10M_RANGE,1989,6.99,8.38,8.56,7.98,9.68,9.11,11.27,9.06,6.84,5.24,4.84,5.45,11.45,
WS10M_RANGE,1990,8.06,6.97,8.36,7.77,10.7,8.29,7.35,8.88,8.2,6.64,6.16,4.91,10.89,
WS10M_RANGE,1991,7.66,6.2,8.11,9.09,7.4,7.92,12.67,8.09,7.04,4.98,3.88,5.7,12.78,
WS10M_RANGE,1992,6.2,6.86,8.17,6.92,8.24,10.27,11.57,7.75,9.09,6.56,4.32,5.49,12.05,
WS10M_RANGE,1993,7.8,7.18,8.02,7.98,8.86,8.27,8.75,8.04,7.26,3.61,4.16,4.21,9.03,
WS10M_RANGE,1994,7.27,7.34,8.81,8.57,7.66,7.93,9.49,8.57,8.62,6.71,3.65,4.42,9.51,
WS10M_RANGE,1995,8.51,6.08,8.09,6.45,10.51,8.16,8.96,7.16,7.91,6.04,9.52,6.28,10.68,
WS10M_RANGE,1996,6.77,7.99,7.65,7.03,9.27,7.89,13.34,7.96,6.03,7.32,4.47,5.18,13.45,
WS10M_RANGE,1997,5.48,7.1,8.37,7.6,9.59,8.7,15.14,9.56,9.38,4.25,5.57,9.48,15.14,
WS10M_RANGE,1998,5.51,5.87,7.89,6.55,9.59,9.82,9.16,6.49,7.67,6.61,7.57,4.39,9.9,
WS10M_RANGE,1999,5.81,5.73,8.41,6.54,7.73,10.53,8.48,11.09,7.1,7.62,4.8,3.81,11.15,
WS10M_RANGE,2000,5.66,8.06,7.72,7.98,8.8,13.4,6.88,9.41,9.36,6.61,5.34,5.94,13.57,
WS10M_RANGE,2001,7.02,7.4,6.03,6.73,9.48,10.59,10.61,6.91,9.02,7.05,5.69,4.23,10.84,
WS10M_RANGE,2002,6.66,7.67,6.18,8.17,9.64,7.73,7.66,9.82,8.29,5.49,6.38,6.36,9.96,
WS10M_RANGE,2003,6.45,6.79,7.04,7.66,9.13,8.62,14.45,9.57,10.03,8.02,3.9,5.79,14.74,
WS10M_RANGE,2004,5.64,5.33,6.79,8.17,9.42,12.87,7.95,8.85,7.37,8.9,4.77,4.45,12.98,
WS10M_RANGE,2005,6.27,7.77,6.41,7,6.68,11.61,8.94,7.87,7.33,5.02,6.16,5.32,11.61,
WS10M_RANGE,2006,5.41,5.77,6.74,7.26,8.51,6.78,10.63,11.3,10.36,4.2,3.78,5.48,11.48,
WS10M_RANGE,2007,5.29,7.89,7.07,6.74,7.55,10.42,9.23,12,12.23,5.03,5.77,6.91,12.23,
WS10M_RANGE,2008,5.48,5.99,6.41,6.81,9.96,9,7.81,7.41,11.83,5.55,4.01,3.92,11.95,
WS10M_RANGE,2009,4.7,7.2,7.14,8.25,9.03,8.17,8.65,7.62,8.56,8.23,5.56,5.17,9.15,
WS10M_RANGE,2010,5.39,7.19,7.23,9.05,8.84,8.02,8.85,8.19,8.74,7.27,4.56,4.75,9.22,
WS10M_RANGE,2011,6.55,6.72,8.05,8.01,7.77,12.52,8.05,6.6,7.71,5.33,4.03,3.47,12.7,
WS10M_RANGE,2012,5.79,7.73,6.85,6.91,7.23,7.55,8.23,7.13,7.78,3.73,4.84,6.42,8.23,
WS10M_RANGE,2013,6.17,9.23,6.72,7.21,9.2,9.63,9.77,8.24,6.82,12.05,5.23,4.76,12.2,
WS10M_RANGE,2014,7.79,7.55,6.45,7.09,7.72,9.16,8.63,8.15,7.6,11.27,4.89,4.75,11.29,
WS10M_RANGE,2015,7.48,5.3,6.84,6.55,7.81,9.53,10.94,9.19,7.46,3.57,3.89,5.4,11.23,
WS10M_RANGE,2016,5.6,5.23,7.76,7.54,8.57,7.43,7.83,8.69,6.42,5.56,5.48,4.6,8.7,
WS10M_RANGE,2017,5.76,5.82,7.69,8.41,8,6.89,8.91,6.12,6.54,6.52,3.68,5.15,9.2,
WS10M_RANGE,2018,6.97,7.15,6.26,7.57,7.08,9.16,7.84,8.28,10.48,6.1,4.77,7.07,10.81,
WS10M_RANGE,2019,5.44,7.05,7.34,6.76,8.08,7.4,9.97,7.33,7.3,8.34,5.27,6.45,10.16,
WS10M_RANGE,2020,6.19,6.23,5.11,6.84,10.63,8.34,7.52,8.66,6.64,4.95,4.31,4.7,10.68,
WS10M_RANGE,2021,4.84,4.61,8.16,5.67,12.4,7.21,7.15,8.06,8.51,5.67,4.11,5.4,12.4,
WS10M_RANGE,2022,4.95,7.78,5.99,6.66,8.29,7.91,7.98,8.92,9.17,6.18,3.48,4.55,9.41,
PRECTOTCORR_SUM,1981,42.19,5.27,26.37,10.55,26.37,168.75,469.34,284.77,205.66,10.55,0,10.55,1260.35,
PRECTOTCORR_SUM,1982,68.55,31.64,31.64,10.55,52.73,216.21,358.59,474.61,121.29,52.73,10.55,0,1429.1,
PRECTOTCORR_SUM,1983,0,10.55,0,10.55,47.46,137.11,321.68,200.39,284.77,47.46,0,15.82,1075.78,
PRECTOTCORR_SUM,1984,21.09,26.37,0,10.55,15.82,184.57,427.15,464.06,89.65,31.64,0,0,1270.9,
PRECTOTCORR_SUM,1985,47.46,5.27,0,0,10.55,79.1,374.41,284.77,189.84,68.55,0,0,1059.96,
PRECTOTCORR_SUM,1986,15.82,42.19,21.09,31.64,10.55,205.66,321.68,205.66,105.47,36.91,36.91,31.64,1065.23,
PRECTOTCORR_SUM,1987,10.55,10.55,10.55,0,36.91,105.47,279.49,205.66,179.3,63.28,31.64,5.27,938.67,
PRECTOTCORR_SUM,1988,5.27,21.09,15.82,26.37,21.09,258.4,279.49,311.13,121.29,10.55,0,0,1070.51,
PRECTOTCORR_SUM,1989,0,0,0,0,10.55,195.12,242.58,284.77,163.48,10.55,0,15.82,922.85,
PRECTOTCORR_SUM,1990,0,31.64,5.27,15.82,105.47,263.67,348.05,253.12,247.85,116.02,10.55,0,1397.46,
PRECTOTCORR_SUM,1991,0,0,0,0,0,126.56,337.5,479.88,137.11,31.64,15.82,21.09,1149.61,
PRECTOTCORR_SUM,1992,0,5.27,5.27,10.55,31.64,131.84,284.77,326.95,216.21,10.55,5.27,0,1028.32,
PRECTOTCORR_SUM,1993,0,5.27,10.55,15.82,47.46,189.84,342.77,263.67,400.78,52.73,10.55,0,1339.45,
PRECTOTCORR_SUM,1994,15.82,5.27,0,21.09,5.27,379.69,564.26,379.69,232.03,84.38,5.27,0,1692.77,
PRECTOTCORR_SUM,1995,36.91,15.82,42.19,5.27,26.37,100.2,369.14,379.69,195.12,36.91,42.19,21.09,1270.9,
PRECTOTCORR_SUM,1996,36.91,15.82,15.82,15.82,5.27,179.3,411.33,379.69,94.92,42.19,0,0,1197.07,
PRECTOTCORR_SUM,1997,10.55,0,0,52.73,31.64,210.94,374.41,500.98,147.66,63.28,68.55,63.28,1524.02,
PRECTOTCORR_SUM,1998,94.92,0,31.64,10.55,21.09,147.66,242.58,258.4,305.86,63.28,52.73,0,1228.71,
PRECTOTCORR_SUM,1999,0,0,0,0,47.46,200.39,268.95,400.78,247.85,63.28,0,0,1228.71,
PRECTOTCORR_SUM,2000,5.27,5.27,0,0,68.55,205.66,221.48,116.02,168.75,5.27,0,0,796.29,
PRECTOTCORR_SUM,2001,0,0,15.82,26.37,42.19,268.95,532.62,363.87,68.55,58.01,0,0,1376.37,
PRECTOTCORR_SUM,2002,21.09,5.27,26.37,5.27,31.64,179.3,131.84,316.41,184.57,31.64,0,0,933.4,
PRECTOTCORR_SUM,2003,0,36.91,21.09,10.55,0,221.48,263.67,337.5,369.14,158.2,0,15.82,1434.38,
PRECTOTCORR_SUM,2004,26.37,0,26.37,36.91,31.64,295.31,274.22,427.15,137.11,47.46,0,0,1302.54,
PRECTOTCORR_SUM,2005,63.28,10.55,5.27,21.09,10.55,184.57,369.14,305.86,200.39,63.28,0,5.27,1239.26,
PRECTOTCORR_SUM,2006,0,0,58.01,15.82,63.28,121.29,358.59,321.68,137.11,21.09,5.27,0,1102.15,
PRECTOTCORR_SUM,2007,0,58.01,5.27,10.55,15.82,163.48,353.32,253.12,337.5,10.55,15.82,0,1223.44,
PRECTOTCORR_SUM,2008,10.55,10.55,31.64,10.55,10.55,369.14,363.87,311.13,216.21,15.82,5.27,0,1355.27,
PRECTOTCORR_SUM,2009,10.55,0,0,5.27,36.91,58.01,321.68,274.22,126.56,73.83,42.19,5.27,954.49,
PRECTOTCORR_SUM,2010,0,0,0,5.27,15.82,116.02,242.58,221.48,237.3,42.19,0,21.09,901.76,
PRECTOTCORR_SUM,2011,0,10.55,5.27,47.46,42.19,300.59,242.58,374.41,400.78,10.55,0,10.55,1444.92,
PRECTOTCORR_SUM,2012,63.28,10.55,0,21.09,0,116.02,395.51,479.88,200.39,21.09,52.73,0,1360.55,
PRECTOTCORR_SUM,2013,0,26.37,0,52.73,5.27,237.3,332.23,395.51,205.66,337.5,0,0,1592.58,
PRECTOTCORR_SUM,2014,21.09,68.55,21.09,47.46,31.64,116.02,311.13,326.95,189.84,105.47,0,26.37,1265.62,
PRECTOTCORR_SUM,2015,26.37,5.27,31.64,21.09,0,179.3,442.97,363.87,184.57,26.37,0,5.27,1286.72,
PRECTOTCORR_SUM,2016,15.82,5.27,21.09,0,58.01,47.46,363.87,564.26,210.94,68.55,0,0,1355.27,
PRECTOTCORR_SUM,2017,5.27,5.27,0,0,10.55,189.84,595.9,311.13,152.93,21.09,0,0,1291.99,
PRECTOTCORR_SUM,2018,0,15.82,0,10.55,36.91,116.02,458.79,311.13,116.02,0,0,31.64,1096.88,
PRECTOTCORR_SUM,2019,26.37,15.82,21.09,0,5.27,121.29,332.23,348.05,311.13,58.01,0,5.27,1244.53,
PRECTOTCORR_SUM,2020,42.19,52.73,89.65,47.46,63.28,284.77,200.39,400.78,147.66,174.02,21.09,0,1524.02,
PRECTOTCORR_SUM,2021,5.27,15.82,5.27,4.65,124.63,290.99,353.28,195.92,208.28,32.08,7.29,34.36,1277.84,
PRECTOTCORR_SUM,2022,30.27,42.73,0.14,0.76,35.39,171.53,228.3,412.7,263.36,107.4,0,0.08,1292.65,
